country,date,total
Albania,20/01/2021,69238
Albania,21/01/2021,69916
Albania,22/01/2020,0
Albania,22/01/2021,70655
Albania,23/01/2020,0
Albania,23/01/2021,71441
Albania,24/01/2020,0
Albania,24/01/2021,72274
Albania,25/01/2020,0
Albania,25/01/2021,72812
Albania,26/01/2020,0
Albania,26/01/2021,73691
Albania,27/01/2020,0
Albania,27/01/2021,74567
Albania,28/01/2020,0
Albania,28/01/2021,75454
Albania,29/01/2020,0
Albania,29/01/2021,76350
Albania,03/01/2021,59438
Albania,30/01/2020,0
Albania,30/01/2021,77251
Albania,31/01/2020,0
Albania,31/01/2021,78127
Albania,04/01/2021,59623
Albania,05/01/2021,60283
Albania,06/01/2021,61008
Albania,07/01/2021,61705
Albania,08/01/2021,62378
Albania,09/01/2021,63033
Albania,01/10/2020,13806
Albania,10/10/2020,15231
Albania,11/10/2020,15399
Albania,12/10/2020,15570
Albania,13/10/2020,15752
Albania,14/10/2020,15955
Albania,15/10/2020,16212
Albania,16/10/2020,16501
Albania,17/10/2020,16774
Albania,18/10/2020,17055
Albania,19/10/2020,17350
Albania,02/10/2020,13965
Albania,20/10/2020,17651
Albania,21/10/2020,17948
Albania,22/10/2020,18250
Albania,23/10/2020,18556
Albania,24/10/2020,18858
Albania,25/10/2020,19157
Albania,26/10/2020,19445
Albania,27/10/2020,19729
Albania,28/10/2020,20040
Albania,29/10/2020,20315
Albania,03/10/2020,14117
Albania,30/10/2020,20634
Albania,31/10/2020,20875
Albania,04/10/2020,14266
Albania,05/10/2020,14410
Albania,06/10/2020,14568
Albania,07/10/2020,14730
Albania,08/10/2020,14899
Albania,09/10/2020,15066
Albania,01/11/2020,21202
Albania,10/11/2020,25294
Albania,11/11/2020,25801
Albania,12/11/2020,26211
Albania,13/11/2020,26701
Albania,14/11/2020,27233
Albania,15/11/2020,27830
Albania,16/11/2020,28432
Albania,17/11/2020,29126
Albania,18/11/2020,29837
Albania,19/11/2020,30623
Albania,02/11/2020,21523
Albania,20/11/2020,31459
Albania,21/11/2020,32196
Albania,22/11/2020,32761
Albania,23/11/2020,33556
Albania,24/11/2020,34300
Albania,25/11/2020,34944
Albania,26/11/2020,35600
Albania,27/11/2020,36245
Albania,28/11/2020,36790
Albania,29/11/2020,37625
Albania,03/11/2020,21904
Albania,30/11/2020,38182
Albania,04/11/2020,22300
Albania,05/11/2020,22721
Albania,06/11/2020,23210
Albania,07/11/2020,23705
Albania,08/11/2020,24206
Albania,09/11/2020,24731
Albania,01/12/2020,39014
Albania,10/12/2020,46061
Albania,11/12/2020,46863
Albania,12/12/2020,47742
Albania,13/12/2020,48530
Albania,14/12/2020,49191
Albania,15/12/2020,50000
Albania,16/12/2020,50637
Albania,17/12/2020,51424
Albania,18/12/2020,52004
Albania,19/12/2020,52542
Albania,02/12/2020,39719
Albania,20/12/2020,53003
Albania,21/12/2020,53425
Albania,22/12/2020,53814
Albania,23/12/2020,54317
Albania,24/12/2020,54827
Albania,25/12/2020,55380
Albania,26/12/2020,55755
Albania,27/12/2020,56254
Albania,28/12/2020,56572
Albania,29/12/2020,57146
Albania,03/12/2020,40501
Albania,30/12/2020,57727
Albania,31/12/2020,58316
Albania,04/12/2020,41302
Albania,05/12/2020,42148
Albania,06/12/2020,42988
Albania,07/12/2020,43683
Albania,08/12/2020,44436
Albania,09/12/2020,45188
Albania,01/02/2020,0
Albania,01/02/2021,78992
Albania,10/02/2020,0
Albania,10/02/2021,88671
Albania,11/02/2020,0
Albania,11/02/2021,89776
Albania,12/02/2020,0
Albania,12/02/2021,90835
Albania,13/02/2020,0
Albania,13/02/2021,91987
Albania,14/02/2020,0
Albania,14/02/2021,93075
Albania,15/02/2020,0
Albania,15/02/2021,93850
Albania,16/02/2020,0
Albania,16/02/2021,94651
Albania,17/02/2020,0
Albania,17/02/2021,95726
Albania,18/02/2020,0
Albania,18/02/2021,96838
Albania,19/02/2020,0
Albania,19/02/2021,97909
Albania,02/02/2020,0
Albania,02/02/2021,79934
Albania,20/02/2020,0
Albania,20/02/2021,99062
Albania,21/02/2020,0
Albania,21/02/2021,100246
Albania,22/02/2020,0
Albania,22/02/2021,101285
Albania,23/02/2020,0
Albania,23/02/2021,102306
Albania,24/02/2020,0
Albania,24/02/2021,103327
Albania,25/02/2020,0
Albania,25/02/2021,104313
Albania,26/02/2020,0
Albania,26/02/2021,105229
Albania,27/02/2020,0
Albania,27/02/2021,106215
Albania,28/02/2020,0
Albania,28/02/2021,107167
Albania,29/02/2020,0
Albania,03/02/2020,0
Albania,03/02/2021,80941
Albania,04/02/2020,0
Albania,04/02/2021,81993
Albania,05/02/2020,0
Albania,05/02/2021,83082
Albania,06/02/2020,0
Albania,06/02/2021,84212
Albania,07/02/2020,0
Albania,07/02/2021,85336
Albania,08/02/2020,0
Albania,08/02/2021,86289
Albania,09/02/2020,0
Albania,09/02/2021,87528
Albania,01/03/2020,0
Albania,01/03/2021,107931
Albania,10/03/2020,10
Albania,10/03/2021,114840
Albania,11/03/2020,12
Albania,11/03/2021,115442
Albania,12/03/2020,23
Albania,13/03/2020,33
Albania,14/03/2020,38
Albania,15/03/2020,42
Albania,16/03/2020,51
Albania,17/03/2020,55
Albania,18/03/2020,59
Albania,19/03/2020,64
Albania,02/03/2020,0
Albania,02/03/2021,108823
Albania,20/03/2020,70
Albania,21/03/2020,76
Albania,22/03/2020,89
Albania,23/03/2020,104
Albania,24/03/2020,123
Albania,25/03/2020,146
Albania,26/03/2020,174
Albania,27/03/2020,186
Albania,28/03/2020,197
Albania,29/03/2020,212
Albania,03/03/2020,0
Albania,03/03/2021,109674
Albania,30/03/2020,223
Albania,31/03/2020,243
Albania,04/03/2020,0
Albania,04/03/2021,110521
Albania,05/03/2020,0
Albania,05/03/2021,111301
Albania,06/03/2020,0
Albania,06/03/2021,112078
Albania,07/03/2020,0
Albania,07/03/2021,112897
Albania,08/03/2020,0
Albania,08/03/2021,113580
Albania,09/03/2020,2
Albania,09/03/2021,114209
Albania,01/04/2020,259
Albania,10/04/2020,416
Albania,11/04/2020,433
Albania,12/04/2020,446
Albania,13/04/2020,467
Albania,14/04/2020,475
Albania,15/04/2020,494
Albania,16/04/2020,518
Albania,17/04/2020,539
Albania,18/04/2020,548
Albania,19/04/2020,562
Albania,02/04/2020,277
Albania,20/04/2020,584
Albania,21/04/2020,609
Albania,22/04/2020,634
Albania,23/04/2020,663
Albania,24/04/2020,678
Albania,25/04/2020,712
Albania,26/04/2020,726
Albania,27/04/2020,736
Albania,28/04/2020,750
Albania,29/04/2020,766
Albania,03/04/2020,304
Albania,30/04/2020,773
Albania,04/04/2020,333
Albania,05/04/2020,361
Albania,06/04/2020,377
Albania,07/04/2020,383
Albania,08/04/2020,400
Albania,09/04/2020,409
Albania,01/05/2020,782
Albania,10/05/2020,868
Albania,11/05/2020,872
Albania,12/05/2020,876
Albania,13/05/2020,880
Albania,14/05/2020,898
Albania,15/05/2020,916
Albania,16/05/2020,933
Albania,17/05/2020,946
Albania,18/05/2020,948
Albania,19/05/2020,949
Albania,02/05/2020,789
Albania,20/05/2020,964
Albania,21/05/2020,969
Albania,22/05/2020,981
Albania,23/05/2020,989
Albania,24/05/2020,998
Albania,25/05/2020,1004
Albania,26/05/2020,1029
Albania,27/05/2020,1050
Albania,28/05/2020,1076
Albania,29/05/2020,1099
Albania,03/05/2020,795
Albania,30/05/2020,1122
Albania,31/05/2020,1137
Albania,04/05/2020,803
Albania,05/05/2020,820
Albania,06/05/2020,832
Albania,07/05/2020,842
Albania,08/05/2020,850
Albania,09/05/2020,856
Albania,01/06/2020,1143
Albania,10/06/2020,1341
Albania,11/06/2020,1385
Albania,12/06/2020,1416
Albania,13/06/2020,1464
Albania,14/06/2020,1521
Albania,15/06/2020,1590
Albania,16/06/2020,1672
Albania,17/06/2020,1722
Albania,18/06/2020,1788
Albania,19/06/2020,1838
Albania,02/06/2020,1164
Albania,20/06/2020,1891
Albania,21/06/2020,1962
Albania,22/06/2020,1995
Albania,23/06/2020,2047
Albania,24/06/2020,2114
Albania,25/06/2020,2192
Albania,26/06/2020,2269
Albania,27/06/2020,2330
Albania,28/06/2020,2402
Albania,29/06/2020,2466
Albania,03/06/2020,1184
Albania,30/06/2020,2535
Albania,04/06/2020,1197
Albania,05/06/2020,1212
Albania,06/06/2020,1232
Albania,07/06/2020,1246
Albania,08/06/2020,1263
Albania,09/06/2020,1299
Albania,01/07/2020,2580
Albania,10/07/2020,3278
Albania,11/07/2020,3371
Albania,12/07/2020,3454
Albania,13/07/2020,3571
Albania,14/07/2020,3667
Albania,15/07/2020,3752
Albania,16/07/2020,3851
Albania,17/07/2020,3906
Albania,18/07/2020,4008
Albania,19/07/2020,4090
Albania,02/07/2020,2662
Albania,20/07/2020,4171
Albania,21/07/2020,4290
Albania,22/07/2020,4358
Albania,23/07/2020,4466
Albania,24/07/2020,4570
Albania,25/07/2020,4637
Albania,26/07/2020,4763
Albania,27/07/2020,4880
Albania,28/07/2020,4997
Albania,29/07/2020,5105
Albania,03/07/2020,2752
Albania,30/07/2020,5197
Albania,31/07/2020,5276
Albania,04/07/2020,2819
Albania,05/07/2020,2893
Albania,06/07/2020,2964
Albania,07/07/2020,3038
Albania,08/07/2020,3106
Albania,09/07/2020,3188
Albania,01/08/2020,5396
Albania,10/08/2020,6536
Albania,11/08/2020,6676
Albania,12/08/2020,6817
Albania,13/08/2020,6971
Albania,14/08/2020,7117
Albania,15/08/2020,7260
Albania,16/08/2020,7380
Albania,17/08/2020,7499
Albania,18/08/2020,7654
Albania,19/08/2020,7812
Albania,02/08/2020,5519
Albania,20/08/2020,7967
Albania,21/08/2020,8119
Albania,22/08/2020,8275
Albania,23/08/2020,8427
Albania,24/08/2020,8605
Albania,25/08/2020,8759
Albania,26/08/2020,8927
Albania,27/08/2020,9083
Albania,28/08/2020,9195
Albania,29/08/2020,9279
Albania,03/08/2020,5620
Albania,30/08/2020,9380
Albania,31/08/2020,9513
Albania,04/08/2020,5750
Albania,05/08/2020,5889
Albania,06/08/2020,6016
Albania,07/08/2020,6151
Albania,08/08/2020,6275
Albania,09/08/2020,6411
Albania,01/09/2020,9606
Albania,10/09/2020,10860
Albania,11/09/2020,11021
Albania,12/09/2020,11185
Albania,13/09/2020,11353
Albania,14/09/2020,11520
Albania,15/09/2020,11672
Albania,16/09/2020,11816
Albania,17/09/2020,11948
Albania,18/09/2020,12073
Albania,19/09/2020,12226
Albania,02/09/2020,9728
Albania,20/09/2020,12385
Albania,21/09/2020,12535
Albania,22/09/2020,12666
Albania,23/09/2020,12787
Albania,24/09/2020,12921
Albania,25/09/2020,13045
Albania,26/09/2020,13153
Albania,27/09/2020,13259
Albania,28/09/2020,13391
Albania,29/09/2020,13518
Albania,03/09/2020,9844
Albania,30/09/2020,13649
Albania,04/09/2020,9967
Albania,05/09/2020,10102
Albania,06/09/2020,10255
Albania,07/09/2020,10406
Albania,08/09/2020,10553
Albania,09/09/2020,10704
Algeria,01/01/2021,99897
Algeria,10/01/2021,102144
Algeria,11/01/2021,102369
Algeria,12/01/2021,102641
Algeria,13/01/2021,102860
Algeria,14/01/2021,103127
